id,name,category,type,ship_to_name,ship_to_erp,ship_to_id,license_plate_number,erp_id,Asset Type,Tank Size,Hub,LoS,Date Added
563600,MS-1K-22,tank,RentalAsset,West Montgomery,80002129-1711396560-West Montgomery,517607,MS-1K-22,MS-1K-22,,,,,
563602,united rentals tank,tank,CustomerAsset,AEP - McCamey,800005A7-1503349027-AEP - McCamey,272403,united rentals tank,,,,,,
563615,Customer Compressor,equipment,CustomerAsset,PCR2 Campus,80001BDB-1681163172-PCR2 Campus,420344,Customer Compressor,,,,,,
563624,Cust tank,tank,CustomerAsset,"1519 S Sheldon Rd, , Houston, Texas, 77015, United States",800019D9-1668033481-,273658,Cust tank,,,,,,
563626,Sunbelt #785595,generator,CustomerAsset,"1519 S Sheldon Rd, , Houston, Texas, 77015, United States",800019D9-1668033481-,273658,Sunbelt #785595,,,,,,
563627,MS-818,tank,RentalAsset,Euell Rd,800018C8-1663697080-Euell Rd,167687,MS-818,MS-818,,,,,
563632,Cat TLIZ55d,equipment,CustomerAsset,CATTLEMAN 1,800002F3-1464273288-CATTLEMAN 1,167895,Cat TLIZ55d,,,,,,
563633,Gen10381410,generator,CustomerAsset,CATTLEMAN 1,800002F3-1464273288-CATTLEMAN 1,167895,Gen10381410,,,,,,
563636,Castle2990309,equipment,CustomerAsset,CATTLEMAN 1,800002F3-1464273288-CATTLEMAN 1,167895,Castle2990309,,,,,,
563652,Cust Tank Dyed,tank,CustomerAsset,Highlife Dist,80001495-1637697228-Highlife Dist,329463,Cust Tank Dyed,,,,,,
563654,Cust OH Tank,tank,CustomerAsset,Off San Diego RD,80001D0E-1688830494-Off San Diego RD,329464,Cust OH Tank,,,,,,
563655,Cust Gen,generator,CustomerAsset,Renoir Lofts,80000658-1508181354-Renoir Lofts,329465,Cust Gen,,,,,,
563656,Cust Tank / Trailer,tank,CustomerAsset,Kaya,800004C1-1490035232-Kaya,329466,Cust Tank / Trailer,,,,,,
563661,Frac Pump,equipment,CustomerAsset,Jackie States,800012DB-1627321982-Jackie States,329346,Frac Pump,,,,,,
563662,Double pump,equipment,CustomerAsset,Jackie States,800012DB-1627321982-Jackie States,329346,Double pump,,,,,,
563663,Support trailer,equipment,CustomerAsset,Jackie States,800012DB-1627321982-Jackie States,329346,Support trailer,,,,,,
563664,Cust Gen 175 KW-800334128,generator,CustomerAsset,5802 EVERHART RD - SOUTH SHORE COASTAL LIVING,8000181D-1659726856-S Shore Coastal Livi,329509,Cust Gen 175 KW-800334128,,,,,,
563665,MS-834,tank,RentalAsset,Natalia HS,800002DE-1462382475-Natalia HS,562384,MS-834,MS-834,,,,,
563666,Cust Gen,generator,CustomerAsset,Highland Grove,80001C1D-1682458192-Highland Grove,329511,Cust Gen,,,,,,
563667,TK00792,tank,CustomerAsset,Oneok Partners,800001CC-1436472496-Oneok Partners,161084,TK00792,,,,,,
563669,Cust Tank,tank,CustomerAsset,Deep Elem 4 582H,80001748-1654627412-Deep Elem 4 582H,322708,Cust Tank,,,,,,
563670,Gen # 800-31-4916,generator,CustomerAsset,Amazon,8000113D-1614378860-Amazon,322591,Gen # 800-31-4916,,,,,,
563687,Wet kit coil unit,equipment,CustomerAsset,Jackie States,800012DB-1627321982-Jackie States,329346,Wet kit coil unit,,,,,,
563688,Support trailer Clear,equipment,CustomerAsset,Jackie States,800012DB-1627321982-Jackie States,329346,Support trailer Clear,,,,,,
563692,CUST GEN,generator,CustomerAsset,Honeywell Bldg,80001D0A-1688762107-Honeywell Bldg,329450,CUST GEN,,,,,,
563693,MS-2K-10,tank,RentalAsset,Willow Road,8000250A-1729869823-Willow Road,762478,MS-2K-10,MS-2K-10,,,,,
563695,MS-1478,tank,RentalAsset,Windrose Green Sec 4,80000533-1497642307-Windrose Green Sec 4,783063,MS-1478,MS-1478,,,,,
563698,cust gen,generator,CustomerAsset,UPS Bergstrom Airpor,800018CD-1663792700-UPS Bergstrom Airpor,326096,cust gen DEF,,,,,,
563699,CUSTOMER TANK,tank,CustomerAsset,Samsung,800018CD-1663792700-Samsung,329356,CUSTOMER TANK DEF,,,,,,
563700,MS-799,tank,RentalAsset,Hunter Ln,8000053D-1498067801-Hunter Ln,763169,MS-799,MS-799,,,,,
563701,MS-777,tank,RentalAsset,McKinney,80002396-1724074125-McKinney,635860,MS-777,MS-777,,,,,
563705,CUST TANK,tank,CustomerAsset,Rig 101/ Jumping Bea,8000120E-1620664922-Rig 101/ Jumping Bea,223743,CUST TANK,,,,,,
563708,MS-750,tank,RentalAsset,US HIGHWAY 79,800016C1-1651080993-US HIGHWAY 79,329438,MS-750,MS-750,,,,,
563709,MS-760,tank,RentalAsset,US HIGHWAY 79,800016C1-1651080993-US HIGHWAY 79,329438,MS-760,MS-760,,,,,
563713,JLG 1,equipment,CustomerAsset,OQ Chemicals 14831,800014C5-1639061520-OQ Chemicals 14831,313325,JLG 1,,,,,,
563714,Crane,equipment,CustomerAsset,OQ Chemicals 14831,800014C5-1639061520-OQ Chemicals 14831,313325,Crane,,,,,,
563715,Air compressor,equipment,CustomerAsset,OQ Chemicals 14831,800014C5-1639061520-OQ Chemicals 14831,313325,Air compressor,,,,,,
563716,CUSTOMER TANK CLEAR,tank,CustomerAsset,"Apex Foundation, Ltd.",80001CAA-1686246439,290767,CUSTOMER TANK CLEAR,,,,,,
563717,CUSTOMER TANK - UNLEADED,tank,CustomerAsset,"Apex Foundation, Ltd.",80001CAA-1686246439,290767,CUSTOMER TANK - UNLEADED,,,,,,
563719,Forklift,equipment,CustomerAsset,OQ Chemicals 14831,800014C5-1639061520-OQ Chemicals 14831,313325,Forklift,,,,,,
563743,CUST BOAT,vehicle,CustomerAsset,73 DOLPHIN LN,80001CAA-1686246439-Dolphin Ln,329665,CUST BOAT,,,,,,
563745,Equipment,equipment,CustomerAsset,Del Mar College,8000011D-1418919895-Del Mar College,324908,Equipment,,,,,,
563765,CUST 1K DYED,tank,CustomerAsset,Boudreaux,80000013-1405975408-Boudreaux,329678,CUST 1K DYED,,,,,,
563768,TK00774,tank,CustomerAsset,EnLink A697081,800001CC-1436472496-EnLink A697081,329674,TK00774,,,,,,
563769,WAJA360,tank,CustomerAsset,EnLink A697081,800001CC-1436472496-EnLink A697081,329674,WAJA360,,,,,,
563771,TBD TANK 1,tank,CustomerAsset,Enlink A697140,800001CC-1436472496-Enlink A697140,329673,TBD TANK 1,,,,,,
563772,TBD TANK 2,tank,CustomerAsset,Enlink A697140,800001CC-1436472496-Enlink A697140,329673,TBD TANK 2,,,,,,
563776,CUST TANK,tank,CustomerAsset,Lexington Heights,80001C1D-1682458192-Lexington Heights,329724,CUST TANK,,,,,,
563780,CUSTOMER TANK,tank,CustomerAsset,Horseshoe Dr,80001BFC-1681835164-Horseshoe Dr,322490,CUSTOMER TANK,,,,,,
563809,Cat325,equipment,CustomerAsset,CATTLEMAN 1,800002F3-1464273288-CATTLEMAN 1,167895,Cat325,,,,,,
563813,4260,tank_wagon,DeliveryAsset,Houston HUB,,135003,4260,,,,,,
563814,CUST TANK,tank,CustomerAsset,Ashland MUD 82,80000104-1416409180-Ashland MUD 82,329780,CUST TANK,,,,,,
563815,Excavator,equipment,CustomerAsset,Boudreaux,80000013-1405975408-Boudreaux,329678,Excavator,,,,,,
563816,CUST TANK,tank,CustomerAsset,Navy 930-232,80001495-1637697228-Navy 930-232,329281,CUST TANK,,,,,,
563822,CUST TANK,tank,CustomerAsset,Warehouse,80001D07-1688673863-Warehouse,329449,CUST TANK,,,,,,
563825,CUST BOAT,vehicle,CustomerAsset,Dolphin Ln,80001D13-1689083511-Dolphin Ln,330678,CUST BOAT,,,,,,
563827,KROGER GEN DEF,tank,CustomerAsset,KROGER #740,PENDING,329370,KROGER GEN DEF,,,,,,
563842,CUST TANK,tank,CustomerAsset,Yard - Scranton,80001CC2-1686866720-Yard - Scranton,331572,CUST TANK,,,,,,
563852,2K CUST TANK DYED,tank,CustomerAsset,Town Harbour Ph 1&2,800000AE-1409863298-Town Harbour Ph 1&2,425228,2K CUST TANK DYED,,,,,,
563854,DIESEL DRUM,tank,CustomerAsset,Ship To 1,80001C67-1684417461-Ship To 1,279683,DIESEL DRUM,,,,,,
563859,11627347,generator,CustomerAsset,Kinder Morgan,80001CCF-1687293289-Kinder Morgan,317821,11627347,,,,,,
563860,Excavator 180546,equipment,CustomerAsset,Kinder Morgan,80001CCF-1687293289-Kinder Morgan,317821,Excavator 180546,,,,,,
563861,Forklift,equipment,CustomerAsset,Kinder Morgan,80001CCF-1687293289-Kinder Morgan,317821,Forklift,,,,,,
563867,CUST EQUIPMENT,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,CUST EQUIPMENT,,,,,,
563868,Cube 5052,tank,CustomerAsset,Yard - Scranton,80001CC2-1686866720-Yard - Scranton,331572,Cube 5052,,,,,,
563871,Customer tank,tank,CustomerAsset,Hwy 36,800015F7-1647022115-Hwy 36,155310,Customer tank,,,,,,
563872,GEN FILL,generator,CustomerAsset,GARCIA CENTER,80001177-1615579524-GARCIA CENTER,337672,GEN FILL,,,,,,
563882,500G CUST TANK CLR,tank,CustomerAsset,"Imonex Services, Inc.",80001D17-1689099583,338613,500G CUST TANK CLR,,,,,,
563883,500G CUST TANK NE87,tank,CustomerAsset,"Imonex Services, Inc.",80001D17-1689099583,338613,500G CUST TANK NE87,,,,,,
563884,CUST TANK - DYED,tank,CustomerAsset,TX-249 Access Rd,800001CB-1436449855-TX-249 Access Rd,223758,CUST TANK - DYED,,,,,,
563897,CUSTOMER TANK,tank,CustomerAsset,Decker Prairie Rose,800013FD-1633128897-Decker Prairie Rose,268586,CUSTOMER TANK,,,,,,
563899,MS-037-DW,tank,RentalAsset,George West HUB,,160561,MS-037-DW,MS-037-DW,,,,,
563904,TRUCKS,equipment,CustomerAsset,OXY Permian Res,80001748-1654627412-OXY Permian Res,339171,TRUCKS,,,,,,
563905,EQUIP,equipment,CustomerAsset,OXY Permian Res,80001748-1654627412-OXY Permian Res,339171,EQUIP,,,,,,
563911,XCLA011,generator,CustomerAsset,Biscuit Film A697243,800001CC-1436472496-Biscuit Film A697243,339197,XCLA011,,,,,,
563928,4258,tank_wagon,DeliveryAsset,Houston HUB,,135003,4258,,,,,,
563930,CUST TANK,tank,CustomerAsset,FM 1582,80001C3A-1683060100-FM 1582,339292,CUST TANK,,,,,,
563946,Case 580,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,Case 580,,,,,,
563947,JD Dozer,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,JD Dozer,,,,,,
563948,Case 540,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,Case 540,,,,,,
563949,Case 580-2,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,Case 580-2,,,,,,
563950,JD Dozer Def,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,JD Dozer Def,,,,,,
563951,Case 580-2 Def,equipment,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,Case 580-2 Def,,,,,,
563952,F550 Work Truck,vehicle,CustomerAsset,Olive Sparrow,800000ED-1415049759-Olive Sparrow,337671,NFN-6018,,,,,,
563953,CUST GENS,generator,CustomerAsset,Northchase Dr,800001CA-1436449764-Northchase Dr,272188,CUST GENS,,,,,,
563954,CUST TANK,tank,CustomerAsset,Main Street,80001D1A-1689116637-Main Street,339300,CUST TANK,,,,,,
563955,GEN FILL,generator,CustomerAsset,McGowan St,8000079E-1531245315-McGowan St,282999,GEN FILL,,,,,,
563957,Komatsu Excavator A36830,equipment,CustomerAsset,Westpark Spring 952,800003C7-1474041035-Westpark Spring 952,317897,Komatsu Excavator A36830,,,,,,
563958,Komatsu Dozer61PX1,equipment,CustomerAsset,Westpark Spring 952,800003C7-1474041035-Westpark Spring 952,317897,Komatsu Dozer61PX1,,,,,,
563959,Broce broom 6314,equipment,CustomerAsset,Westpark Spring 952,800003C7-1474041035-Westpark Spring 952,317897,Broce broom 6314,,,,,,
563961,Gen#10381453,generator,CustomerAsset,Rosslyn 35095-99,800019DF-1668185033-Rosslyn 35095-99,329353,Gen#10381453,,,,,,
563962,Komatsu Excavator 58043,equipment,CustomerAsset,Westpark Spring 952,800003C7-1474041035-Westpark Spring 952,317897,Komatsu Excavator 58043,,,,,,
563963,Komatsu loader WA06,equipment,CustomerAsset,Westpark Spring 952,800003C7-1474041035-Westpark Spring 952,317897,Komatsu loader WA06,,,,,,
563965,CUSTOMER TANK,tank,CustomerAsset,Peninsula St,80001394-1631053596-Peninsula St,269909,CUSTOMER TANK,,,,,,
563969,MS-2014,tank,RentalAsset,Oriana Solar Project,8000145A-1636583106-Oriana Solar Project,516735,MS-2014,MS-2014,,,,,
563972,MS-607,tank,RentalAsset,TX 242,80001A6E-1672781673-TX 242,492659,MS-607,MS-607,,,,,
563973,MS-297,tank,RentalAsset,WATSON PROJECT,80001F12-1699291562-WATSON PROJECT,545208,MS-297,MS-297,,,,,
563975,MS-2202,tank,RentalAsset,Stillhouse Solar Job,800015E6-1646843659-Stillhouse Solar Job,528942,MS-2202,MS-2202,,,,,
563976,MS-2165,tank,RentalAsset,CATTLEMAN 2,800002F3-1464273288-CATTLEMAN 2,339309,MS-2165,MS-2165,,,,,
563977,MS-1457,tank,RentalAsset,CATTLEMAN 2,800002F3-1464273288-CATTLEMAN 2,339309,MS-1457,MS-1457,,,,,
563979,MS-2211,tank,RentalAsset,Warehouse,80001D07-1688673863-Warehouse,329449,MS-2211,MS-2211,,,,,
563980,MS-668,tank,RentalAsset,Samara 11 Job 4545,8000006C-1406226973-Samara 11 Job 4545,754875,MS-668,MS-668,,,,,
563989,CUST 8K TANK,tank,CustomerAsset,Big Lake,80001288-1624396695-Big Lake,340208,CUST 8K TANK,,,,,,
563990,CUST TANK,tank,CustomerAsset,Park Row,800000D1-1412365240-Park Row,290522,CUST TANK,,,,,,
563993,John Deere Dozer 57,equipment,CustomerAsset,Leonetti Lane,8000053D-1498067801-Leonetti Lane,275498,John Deere Dozer 57,,,,,,
563994,Cat DozerD4G,equipment,CustomerAsset,Leonetti Lane,8000053D-1498067801-Leonetti Lane,275498,Cat DozerD4G,,,,,,
563998,Gen,generator,CustomerAsset,GARCIA CENTER,80001177-1615579524-GARCIA CENTER,337672,Gen,,,,,,
563999,CUST CLEAR TANK,tank,CustomerAsset,Ranch,80001D23-1689199644-Ranch,341141,CUST CLEAR TANK,,,,,,
564003,EQUIP FILL,equipment,CustomerAsset,32111 N Hwy 146,80001D24-1689200073-32111 N Hwy 146,341146,EQUIP FILL,,,,,,
564023,GENERATOR TANK,generator,CustomerAsset,Foxcon 249,800005CA-1504371836-Foxcon 249,269145,GENERATOR TANK,,,,,,
564024,Bucket,equipment,CustomerAsset,Flour Bluff Job,80001BFC-1681835164-Flour Bluff Job,283062,Bucket,,,,,,
564026,300sheer,equipment,CustomerAsset,Flour Bluff Job,80001BFC-1681835164-Flour Bluff Job,283062,300sheer,,,,,,
564033,550 Container on barge.,tank,CustomerAsset,Main Street,80001D1A-1689116637-Main Street,339300,550 Container on barge.,,,,,,
564042,MS-OH-1067,tank,RentalAsset,Beaver Nutria Booste,80001AEB-1675900613-Beaver Nutria Booste,273697,MS-OH-1067,MS-OH-1067,,,,,
564047,MS-4K-34,tank,RentalAsset,Carrizo Springs,80001D0C-1688765246-Carrizo Springs,342477,MS-4K-34,MS-4K-34,,,,,
564051,CUSTOMER TANK,tank,CustomerAsset,US Oil Fuel Term,80001D22-1689199348-US Oil Fuel Term,343764,CUSTOMER TANK,,,,,,
564096,Fuel trailer,tank,CustomerAsset,OXY Permian Res,80001748-1654627412-OXY Permian Res,339171,Fuel trailer,,,,,,
564162,Cust Tank DYED,tank,CustomerAsset,McLitic,8000131A-1629164867-McLitic,273240,Cust Tank DYED,,,,,,
564169,CUST TANK,tank,CustomerAsset,"Caravan 28 -202,203","80001748-1654627412-Caravan 28 -202,203",344085,CUST TANK,,,,,,
